Sucursal,Region,SaldoInsolutoActual,SaldoInsolutoVencidoActual,"SaldoInsoluto
3089Actual","Saldo
60en6Actual",CastigosActual,CapitalLiquidadoActual,CapitalDispersadoActual,%FPDActual,QuitasActual
AcerosdelNorte,Norte,32270687.14,2938266.197,1934768.183,129522.1988,206103.31,0,2113399.54,0.063462,14908.66
AcerosdelNorteBIS,Norte,527765.7608,0,0,0,0,0,180000,0.166667,0
AguasCentral,Occidente,45150803.99,2087896.558,1787586.562,77593.7496,148223.19,182559.97,2493004.93,0.061898,1144.14
AguasNorte,Occidente,25707188.91,1664187.605,1300829.441,0,352685.96,51518.37,1230470.72,0,29285.46
AltodeChilpan,Centro2,25231781.76,1012992.197,1050912.686,18436.7584,381214.52,47320.06,1771724.51,0,3263.97
AltosdeQuerétaro,Centro2,43229912.66,2217360.009,2390326.005,154420.2828,185445.6,311468.62,2359108.19,0.033951,19987.01
AlturasdePuebla,Centro1,46721263.15,3489211.762,2536064.505,324610.0764,776931.46,35163.65,2176253.18,0.012381,6734.73
AlturasdePueblaBIS,Centro1,4384486.343,534958.548,117168.9656,0,0,122090.38,112963.29,0.166667,28.66
BahíaAzul,Perla,41016035.02,1220432.047,1604940.481,72989.6564,85580.73,104895.91,2751430.37,0.004808,11426.02
BahíaCampeche,Sur,48359631.26,3707341.275,1859507.996,155527.5864,488532.16,27665.55,2607994.16,0.030518,8279.82
BahíaChetumal,Sur,20886081.09,1623900.808,887697.7744,33749.8724,48889.2,13183.13,841314.55,0,936.2
BahíaCruz,Sur,48574454.03,2389824.765,1683463.044,44050.1176,77028.47,103196.05,3244273.92,0,37200.97
BahíaDorada,Centro2,77943669.79,5670972.909,3297219.643,395575.3532,693210.76,47783.68,3672134.92,0.034099,11242.91
BahíaDorada,Perla,77943669.79,5670972.909,3297219.643,395575.3532,693210.76,47783.68,3672134.92,0.034099,11242.91
BahíaDoradaBIS,Centro2,1582782.578,0,0,0,0,0,152848.91,0.5,0
